TABLE,SHORT_SOURCE,FULL_CITATION
"DisposalVolumes.csv, Restoration.csv","Mestena, 2015","Mestena Uranium LLC, April 17, 2015, Alta Mesa Facility (Mine Permit UR03060) PAA-1 Restoration Progress Report"
DisposalVolumes.csv,"RGR, 1995","Rio Grande Resources, March 15, 1995, Rio Grande Resources Corporation for Chevron Resources Company, Palangana Operation, Duval County Permit No. UR02051-011 Report on Analytical Results for Stability Sample Set No 3 of 3 for Production Area Authorization No 1 (Letter to Mr. Dale P. Kohler))."
MinePermit.csv,"Ryan, 2017","Maryann Ryan, TCEQ, August 2017, Personnel communication"
"TexasISROperations.csv, AreaInformation.csv, DisposalVolumes.csv","SRK, 2010","SRK Consulting, 2010, NI 43-101 Technical Report on Resources Uranium Energy Corp. Palangana ISR Uranium Project, Deposits PA-1, PA-2 and Adjacent Exploration Areas Duval County, Texas. Lakewood, CO, SRK Consulting."
Restoration.csv,"STMV, 2012","South Texas Mining Venture, Novenber 5, 2012, Permit UR:03070 Application for Production Area Authorization In Situ Uranium Mining"
AreaInformation.csv,"STMV, 2013a ","South Texas Mining Venture, January 23, 2013a, Application for Production Area Authorization In Situ Uranium Mining:  Permit UR:03070, p. 7 and Appendix 10"
AreaInformation.csv,"STMV, 2013b","South Texas Mining Venture, September 25, 2013b,  Production Area Authorization Application, Production Area 4: La Palangana Uranium Project, Duval County, Texas "
MinePermit.csv,"TCEQ, 2003a","Texas Commission on Environmental Quality, July 1, 2003a, Revocation of Underground Injection Control Permit WDW-337 to URI, Inc., Alta Mesa Mine."
MinePermit.csv,"TCEQ, 2003b","Texas Commission on Environmental Quality, July 1, 2003b, Revocation of Underground Injection Control Permit UR03055-001 to URI, Inc., Alta Mesa Mine."
MinePermit.csv,"TCEQ, 2003c","Texas Commission on Environmental Quality, July 1, 2003c, Revocation of Underground Injection Control Permit WDW-336 to URI, Inc., Alta Mesa Mine."
DisposalVolumes.csv,"TCEQ, 2006a","Texas Commission on Environmental Quality, May 4, 2006a, Permit to conduct Class I Underground Injection under provision of Texas Water Code Chapter 27,URI, Inc., Permit No. WDW248"
AreaInformation.csv,"TCEQ, 2006b","Texas Commission on Environmental Quality, September 18, 2006b, Area Permit  to operate Class III underground injection wells for in situ recovery of uranium and aquifer restoration, Mestena, Alta Mesa Mine In Situ Uranium Mine PAA-1, UR03060-011"
AreaInformation.csv,"TCEQ, 2008","Texas Commission on Environmental Quality, July 2, 2008, Area Permit  to operate Class III underground injection wells for in situ recovery of uranium and aquifer restoration, Mestena, Alta Mesa Mine In Situ Uranium Mine PAA-2, UR03060-021"
AreaInformation.csv,"TCEQ, 2009a","Texas Commission on Environmental Quality, June 24, 2009a, Area Permit  to operate Class III underground injection wells for in situ recovery of uranium and aquifer restoration, Mestena, Alta Mesa Mine In Situ Uranium Mine PAA-2, UR03060-041"
DisposalVolumes.csv,"TCEQ, 2009b","Texas Commission on Environmental Quality, October 22, 2009b, Permit to conduct Class I Underground Injection under provision of Texas Water Code Chapter 27, URI, Inc., Permit No. WDW250"
DisposalVolumes.csv,"TCEQ, 2010","Texas Commission on Environmental Quality, October 10, 2010, Permit to conduct Class I Underground Injection under provision of Texas Water Code Chapter 27, Mestena Uranium, LLC. Alta Mesa Mine, Permit No. WDW365"
DisposalVolumes.csv,"TCEQ, 2012","Texas Commission on Environmental Quality,  May 15, 2012, Permit to Conduct Class I Underground Injection, South Texas Mining Venture LLP, Permit No. WDW419 "
AquiferExemptions.csv,"TCEQ, 2013","Texas Commission on Environmental Quality, April 24, 2013, Aquifer Exemption Order:  Mestena Uranium, LLC, Alta Mesa Mine"
AreaInformation.csv,"TCEQ, 2016","Texas Commission on Environmental Quality, August 11, 2016, “UR03060_PA_2016 Summary”, Received from TCEQ on 10/11/17"
AreaInformation.csv,"TWC, 1985","Texas Water Commission, June 18, 1985, Permit No. UR02051, Chevron U.S.A, Palangana Mining Project."
AreaInformation.csv,"TWC, 1990","Texas Water Commission, January 11, 1990, PERMIT to conduct underground injection under provisions of Chapters 26 & 27, Texas Water Code TWC Permit No. UR02827, URI, Inc., Kingsville Dome Mining Project"
AreaInformation.csv,"TWC, 1991","Texas Water Commission, October 9, 1991, Production Area Authorization to Conduct underground injection under provisions of Permit No. UR02381, Mt. Lucas Mine, Everest Exploration, Inc., "
AreaInformation.csv,"TWQB, 1977","Texas Water Quality Board, January 7, 1977, Permit to Dispose of Waters Under Provisions of Article 7621d.1, Union Carbide Corporation, Permit No. 02051"
DisposalVolumes.csv,"UCC, 1979a","Union Carbide Corporation, March 8, 1979a, Semi Annual Report of Operations For Waste Disposal Well, TDWR Permit No. WDW-134, Duval County TX (Received by Dept. of Water Resources Mar. 12, 1979)"
DisposalVolumes.csv,"UCC, 1979b","Union Carbide Corporation, October 3, 1979b, Semi-Annual Report of Operations for Waste Disposal Well, TDWR Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"UCC, 1980a","Union Carbide Corporation, January 25, 1980a, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"UCC, 1980b","Union Carbide Corporation, July 24, 1980b, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
DisposalVolumes.csv,"UCC, 1981","Union Carbide Corporation, January 19, 1981, Injection Well Report of Operation,  Permit No. WDW-134, Duval County, Texas"
TexasISROperations.csv,"UEC, 2014","Uranium Energy Corporation, December 31, 2014, UNITED STATES SECURITIES AND EXCHANGE COMMISSION, FORM 10-K, ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2014: WASHINGTON, D.C. 20549, p. 165."
"TexasISROperations.csv, Restoration.csv","UEC, 2016","Uranium Energy Corporation, December 31, 2016, UNITED STATES SECURITIES AND EXCHANGE COMMISSION, FORM 10-K, ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2014: WASHINGTON, D.C. 20549, p. 133."
AreaInformation.csv,UR_INC a,"Uranium Resources, Inc., [undated] AREA PERMIT to construct and operate Class III underground injection wells for In-Situ recovery of uranium and aquifer restoration under Chapter 27 Texas Water Code: AREA PERMIT NO. UR02827 Kingsville Dome Mining Project"
AreaInformation.csv,"UR_INC, 1988a","Uranium Resources, Inc., April 12, 1988a, Permit to conduct underground injection under provisions of Permit No. URO2827, Production Area Authorization Kingsville Dome Mining Project, Production Area:  UR02827-011"
Restoration.csv,"UR_INC, 1988b","Uranium Resources, Inc., May 13, 1988b, Kingsville Dome Expansion No. 1 Supplementary Technical Report"
"AreaInformation.csv, Restoration.csv","UR_INC, 2010a","Uranium Resources, Inc., November 22, 2010a, URI Rosita ISR Project Technical Report for a Restoration Table Amendment for Production Area Authorization UR02880-011. Austin, TX, Submitted to Texas Commission on Environmental Quality, Received November 29, 2010: 94 p."
"AreaInformation.csv, Restoration.csv","UR_INC, 2010b","Uranium Resources, Inc., December 6, 2010b, URI Rosita ISR Project Technical Report for a Restoration Table Amendment for Production Area Authorization UR02880-021. Austin, TX, Submitted to Texas Commission on Environmental Quality, Received Dec 8, 2010: 153 p."
Restoration.csv,"UR_INC, 2013a","Uranium Resources, Inc., October 13, 2013a, URI KINGSVILLE DOME ISR PROJECT REQUEST TO CEASE RESTORATION AND BEGIN STABILITY SAMPLING IN PRODUCTION AREA AUTHORIZATION UR02827-011: 37."
Restoration.csv,"UR_INC, 2013b","Uranium Resources, Inc., October 16, 2013b, URI KINGSVILLE DOME ISR PROJECT REQUEST TO CEASE RESTORATION AND BEGIN STABILITY SAMPLING IN PRODUCTION AREA AUTHORIZATION UR02827-021: 25 p."
DisposalVolumes.csv,"UR_INC, 2016a","Uranium Resources, Inc., January 20, 2016a, 2015 Annual Report Class 1 Non-Hazardous Deep  Disposal TCEQ Permit WDW-250:  Uranium Resources Inc. Rosita Facility. Kingsville, TX: 6p."
DisposalVolumes.csv,"UR_INC, 2016b","Uranium Resources, Inc., January 20, 2016b, 2015 Annual Report Class 1 Non-Hazardous Deep  Disposal TCEQ Permit WDW-248:  Uranium Resources Inc. Kingsville Facility. Kingsville, TX: 6p."
TexasISROperations.csv,"UR_INC, 2016c","Uranium Resources, Inc., December 31, 2016c, UNITED STATES SECURITIES AND EXCHANGE COMMISSION, FORM 10-K, ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016: WASHINGTON, D.C. 20549, p. 101."
